_key,_from,_to,predicate,timestamp,annotation,isNewDeviceForAccount,ipThreatScore,confidence,riskScore,firstSeen,lastSeen
E001,accounts/A006,transactions/T001,initiated,2026-05-01T08:49:00Z,account A006 initiated transaction T001 at 2026-05-01T08:49:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E002,transactions/T001,devices/D007,usedDevice,,"device D007 was used to execute transaction T001; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E003,transactions/T001,ips/IP016,originatedFrom,,transaction T001 originated from IP 203.0.113.26; the edge contributes network provenance and carries IP threat context with score 0.3.,,0.3,,,,
E004,accounts/A013,transactions/T002,initiated,2026-05-01T09:31:00Z,account A013 initiated transaction T002 at 2026-05-01T09:31:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E005,transactions/T002,devices/D005,usedDevice,,"device D005 was used to execute transaction T002; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E006,transactions/T002,ips/IP015,originatedFrom,,transaction T002 originated from IP 203.0.113.25; the edge contributes network provenance and carries IP threat context with score 0.4.,,0.4,,,,
E007,accounts/A002,transactions/T003,initiated,2026-05-01T10:01:00Z,account A002 initiated transaction T003 at 2026-05-01T10:01:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E008,transactions/T003,devices/D010,usedDevice,,"device D010 was used to execute transaction T003; the device was previously associated with the account, which impacts account-takeover and anomalous-access scoring.",False,,,,,
E009,transactions/T003,ips/IP018,originatedFrom,,transaction T003 originated from IP 203.0.113.28; the edge contributes network provenance and carries IP threat context with score 0.05.,,0.05,,,,
E010,accounts/A028,transactions/T004,initiated,2026-05-01T10:30:00Z,account A028 initiated transaction T004 at 2026-05-01T10:30:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E011,transactions/T004,devices/D009,usedDevice,,"device D009 was used to execute transaction T004; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E012,transactions/T004,ips/IP003,originatedFrom,,transaction T004 originated from IP 203.0.113.13; the edge contributes network provenance and carries IP threat context with score 0.9.,,0.9,,,,
E013,transactions/T004,attack_patterns/synthetic-identity,matchesPattern,,"transaction T004 matches attack pattern synthetic-identity with confidence 0.79; this converts low-level transaction, device, and IP evidence into a higher-level fraud/cyber pattern assertion.",,,0.79,,,
E014,transactions/T004,fraud_signals/S001,triggeredSignal,,"transaction T004 triggered fraud signal S001 with risk score 0.99; this materializes the detection result as an explainable signal for review, escalation, or Gold-layer analytics.",,,,0.99,,
E015,accounts/A029,transactions/T005,initiated,2026-05-01T11:18:00Z,account A029 initiated transaction T005 at 2026-05-01T11:18:00Z; this establishes ownership/responsibility for the transaction event and links account baseline risk to observed payment behavior.,,,,,,
E016,transactions/T005,devices/D010,usedDevice,,"device D010 was used to execute transaction T005; the device was new for the account, which impacts account-takeover and anomalous-access scoring.",True,,,,,
E017,transactions/T005,ips/IP003,originatedFrom,,transaction T005 originated from IP 203.0.113.13; the edge contributes network provenance and carries IP threat context with score 0.9.,,0.9,,,,
