_key,@id,@type,signalId,riskScore,severity,description,createdAt,annotation
S001,ex:signal/S001,FraudSignal,S001,0.99,high,Suspicious transaction T004: high-risk account/IP/device pattern,2026-05-01T10:30:00Z,Fraud signal S001 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T004: high-risk account/IP/device pattern.
S002,ex:signal/S002,FraudSignal,S002,0.99,high,Suspicious transaction T005: high-risk account/IP/device pattern,2026-05-01T11:18:00Z,Fraud signal S002 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T005: high-risk account/IP/device pattern.
S003,ex:signal/S003,FraudSignal,S003,0.99,high,Suspicious transaction T007: high-risk account/IP/device pattern,2026-05-01T12:21:00Z,Fraud signal S003 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T007: high-risk account/IP/device pattern.
S004,ex:signal/S004,FraudSignal,S004,0.99,high,Suspicious transaction T011: high-risk account/IP/device pattern,2026-05-01T14:55:00Z,Fraud signal S004 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T011: high-risk account/IP/device pattern.
S005,ex:signal/S005,FraudSignal,S005,0.99,high,Suspicious transaction T022: high-risk account/IP/device pattern,2026-05-01T21:36:00Z,Fraud signal S005 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T022: high-risk account/IP/device pattern.
S006,ex:signal/S006,FraudSignal,S006,0.98,high,Suspicious transaction T023: high-risk account/IP/device pattern,2026-05-01T22:20:00Z,Fraud signal S006 has high severity and risk score 0.98. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T023: high-risk account/IP/device pattern.
S007,ex:signal/S007,FraudSignal,S007,0.95,high,Suspicious transaction T033: high-risk account/IP/device pattern,2026-05-02T04:31:00Z,Fraud signal S007 has high severity and risk score 0.95. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T033: high-risk account/IP/device pattern.
S008,ex:signal/S008,FraudSignal,S008,0.99,high,Suspicious transaction T041: high-risk account/IP/device pattern,2026-05-02T09:19:00Z,Fraud signal S008 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T041: high-risk account/IP/device pattern.
S009,ex:signal/S009,FraudSignal,S009,0.99,high,Suspicious transaction T048: high-risk account/IP/device pattern,2026-05-02T13:38:00Z,Fraud signal S009 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T048: high-risk account/IP/device pattern.
S010,ex:signal/S010,FraudSignal,S010,0.99,high,Suspicious transaction T053: high-risk account/IP/device pattern,2026-05-02T16:49:00Z,Fraud signal S010 has high severity and risk score 0.99. It summarizes a transaction-level detection outcome and provides an analyst-facing explanation handle: Suspicious transaction T053: high-risk account/IP/device pattern.
