_key,@id,@type,transactionId,amount,currency,timestamp,channel,merchantCategory,decision,isFraud,annotation
T001,ex:transaction/T001,Transaction,T001,1071.95,USD,2026-05-01T08:49:00Z,web,crypto_exchange,review,False,"Transaction T001 is a web crypto_exchange payment for 1071.95 USD at 2026-05-01T08:49:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T002,ex:transaction/T002,Transaction,T002,645.42,USD,2026-05-01T09:31:00Z,atm,crypto_exchange,approve,False,"Transaction T002 is a atm crypto_exchange payment for 645.42 USD at 2026-05-01T09:31:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T003,ex:transaction/T003,Transaction,T003,157.58,USD,2026-05-01T10:01:00Z,web,electronics,review,False,"Transaction T003 is a web electronics payment for 157.58 USD at 2026-05-01T10:01:00Z. It is not fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T004,ex:transaction/T004,Transaction,T004,8091.47,USD,2026-05-01T10:30:00Z,pos,electronics,review,True,"Transaction T004 is a pos electronics payment for 8091.47 USD at 2026-05-01T10:30:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T005,ex:transaction/T005,Transaction,T005,5893.64,USD,2026-05-01T11:18:00Z,pos,travel,review,True,"Transaction T005 is a pos travel payment for 5893.64 USD at 2026-05-01T11:18:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T006,ex:transaction/T006,Transaction,T006,602.71,USD,2026-05-01T11:46:00Z,api,retail,approve,False,"Transaction T006 is a api retail payment for 602.71 USD at 2026-05-01T11:46:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T007,ex:transaction/T007,Transaction,T007,9463.01,USD,2026-05-01T12:21:00Z,pos,crypto_exchange,review,True,"Transaction T007 is a pos crypto_exchange payment for 9463.01 USD at 2026-05-01T12:21:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T008,ex:transaction/T008,Transaction,T008,644.85,USD,2026-05-01T13:10:00Z,pos,gaming,approve,False,"Transaction T008 is a pos gaming payment for 644.85 USD at 2026-05-01T13:10:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T009,ex:transaction/T009,Transaction,T009,1477.6,USD,2026-05-01T13:50:00Z,api,gaming,approve,False,"Transaction T009 is a api gaming payment for 1477.6 USD at 2026-05-01T13:50:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T010,ex:transaction/T010,Transaction,T010,1960.13,USD,2026-05-01T14:27:00Z,mobile,money_transfer,approve,False,"Transaction T010 is a mobile money_transfer payment for 1960.13 USD at 2026-05-01T14:27:00Z. It is not fraud-labeled with decision 'approve', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
T011,ex:transaction/T011,Transaction,T011,4813.75,USD,2026-05-01T14:55:00Z,web,electronics,review,True,"Transaction T011 is a web electronics payment for 4813.75 USD at 2026-05-01T14:55:00Z. It is fraud-labeled with decision 'review', making it the primary event node for linking accounts, devices, IPs, patterns, and generated fraud signals."
