_key,@id,@type,accountId,accountType,country,status,baselineRisk,createdAt,annotation
A001,ex:account/A001,Account,A001,consumer,GB,active,0.61,2025-08-16T08:00:00Z,Account A001 is a consumer account in GB with elevated-risk baseline risk (0.61). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A002,ex:account/A002,Account,A002,consumer,BR,active,0.17,2024-08-05T08:00:00Z,Account A002 is a consumer account in BR with low-risk baseline risk (0.17). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A003,ex:account/A003,Account,A003,consumer,US,active,0.42,2025-08-06T08:00:00Z,Account A003 is a consumer account in US with moderate-risk baseline risk (0.42). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A004,ex:account/A004,Account,A004,consumer,BR,active,0.49,2024-03-29T08:00:00Z,Account A004 is a consumer account in BR with moderate-risk baseline risk (0.49). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A005,ex:account/A005,Account,A005,merchant,NL,active,0.62,2024-12-28T08:00:00Z,Account A005 is a merchant account in NL with elevated-risk baseline risk (0.62). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A006,ex:account/A006,Account,A006,consumer,US,active,0.56,2025-01-24T08:00:00Z,Account A006 is a consumer account in US with elevated-risk baseline risk (0.56). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A007,ex:account/A007,Account,A007,consumer,CA,active,0.35,2025-12-18T08:00:00Z,Account A007 is a consumer account in CA with moderate-risk baseline risk (0.35). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A008,ex:account/A008,Account,A008,consumer,DE,active,0.13,2024-07-22T08:00:00Z,Account A008 is a consumer account in DE with low-risk baseline risk (0.13). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A009,ex:account/A009,Account,A009,consumer,SG,active,0.28,2025-11-25T08:00:00Z,Account A009 is a consumer account in SG with moderate-risk baseline risk (0.28). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A010,ex:account/A010,Account,A010,business,US,watchlist,0.9,2024-09-13T08:00:00Z,Account A010 is a business account in US with high-risk baseline risk (0.9). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is watchlist.
A011,ex:account/A011,Account,A011,merchant,DE,active,0.31,2025-09-17T08:00:00Z,Account A011 is a merchant account in DE with moderate-risk baseline risk (0.31). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A012,ex:account/A012,Account,A012,consumer,CA,active,0.66,2026-01-10T08:00:00Z,Account A012 is a consumer account in CA with elevated-risk baseline risk (0.66). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A013,ex:account/A013,Account,A013,consumer,NL,watchlist,0.79,2025-06-21T08:00:00Z,Account A013 is a consumer account in NL with elevated-risk baseline risk (0.79). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is watchlist.
A014,ex:account/A014,Account,A014,consumer,US,active,0.44,2025-04-03T08:00:00Z,Account A014 is a consumer account in US with moderate-risk baseline risk (0.44). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A015,ex:account/A015,Account,A015,consumer,US,active,0.23,2024-06-20T08:00:00Z,Account A015 is a consumer account in US with low-risk baseline risk (0.23). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A016,ex:account/A016,Account,A016,consumer,US,active,0.2,2025-03-09T08:00:00Z,Account A016 is a consumer account in US with low-risk baseline risk (0.2). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A017,ex:account/A017,Account,A017,merchant,CA,active,0.28,2025-05-04T08:00:00Z,Account A017 is a merchant account in CA with moderate-risk baseline risk (0.28). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A018,ex:account/A018,Account,A018,consumer,CA,watchlist,0.78,2023-12-12T08:00:00Z,Account A018 is a consumer account in CA with elevated-risk baseline risk (0.78). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is watchlist.
A019,ex:account/A019,Account,A019,consumer,NL,active,0.08,2026-01-24T08:00:00Z,Account A019 is a consumer account in NL with low-risk baseline risk (0.08). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A020,ex:account/A020,Account,A020,merchant,DE,active,0.23,2024-05-30T08:00:00Z,Account A020 is a merchant account in DE with low-risk baseline risk (0.23). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A021,ex:account/A021,Account,A021,business,US,active,0.48,2025-11-10T08:00:00Z,Account A021 is a business account in US with moderate-risk baseline risk (0.48). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A022,ex:account/A022,Account,A022,merchant,BR,active,0.26,2024-02-27T08:00:00Z,Account A022 is a merchant account in BR with moderate-risk baseline risk (0.26). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A023,ex:account/A023,Account,A023,merchant,NL,active,0.56,2025-08-20T08:00:00Z,Account A023 is a merchant account in NL with elevated-risk baseline risk (0.56). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A024,ex:account/A024,Account,A024,consumer,BR,watchlist,0.92,2024-11-12T08:00:00Z,Account A024 is a consumer account in BR with high-risk baseline risk (0.92). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is watchlist.
A025,ex:account/A025,Account,A025,consumer,US,active,0.13,2024-06-28T08:00:00Z,Account A025 is a consumer account in US with low-risk baseline risk (0.13). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A026,ex:account/A026,Account,A026,business,NG,active,0.19,2025-03-03T08:00:00Z,Account A026 is a business account in NG with low-risk baseline risk (0.19). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A027,ex:account/A027,Account,A027,business,BR,active,0.38,2024-09-12T08:00:00Z,Account A027 is a business account in BR with moderate-risk baseline risk (0.38). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
A028,ex:account/A028,Account,A028,consumer,US,watchlist,0.8,2024-05-03T08:00:00Z,Account A028 is a consumer account in US with high-risk baseline risk (0.8). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is watchlist.
A029,ex:account/A029,Account,A029,consumer,DE,watchlist,0.82,2025-12-08T08:00:00Z,Account A029 is a consumer account in DE with high-risk baseline risk (0.82). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is watchlist.
A030,ex:account/A030,Account,A030,consumer,SG,active,0.31,2024-03-23T08:00:00Z,Account A030 is a consumer account in SG with moderate-risk baseline risk (0.31). It anchors customer behavior and provides prior-risk context for transaction and device/IP relationships; current status is active.
